taxon	taxon rank	candidate	taxon author	synonyms	alternative names	sequence accs	EukProt_ID	notes	reference
Eukaryota;Meteora	genus		Hausmann et al. 2002					no genetic data yet for this genus	https://doi.org/10.1078/0932-4739-00872
Eukaryota;Meteora;Meteora sporadica	species		Hausmann et al. 2002					type species of the genus	https://doi.org/10.1078/0932-4739-00872
