taxon	taxon rank	candidate	taxon author	synonyms	alternative names	sequence accs	EukProt ID	notes
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma americanum;strain Schmidt-2007						AM713182		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma japonicum	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma japonicum;strain AD1						MG994980		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma japonicum;strain BJ						KP970226		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma japonicum;strain BJC						KP970227		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma japonicum;strain BJUK						KP970228		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma japonicum;strain Schmidt-2007						AM713185		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma japonicum;strain Stock-R1072							EP00358; https://doi.org/10.6084/m9.figshare.12417881	
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma musculus	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma musculus;strain MUBM1						MW466723		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma musculus;strain SKS10a						KJ651813		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma sinuosum	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma sinuosum;strain Fernandes-2015						KP970229		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma sinuosum;strain IBZ-UFRJ0015-X						JN627438		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma sinuosum;strain OBS1						MK354013		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma sinuosum;strain OK1						MG995002		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma undulans	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma undulans;strain BU						KP970232		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma undulans;strain BU3						KP970230		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma undulans;strain BU69						KP970231		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma undulans;strain BUC						KP970233		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma undulans;strain FYB2013031304						KR815912		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma undulans;strain JD1						LT628483		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma undulans;strain MUBU1						MW466725		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma undulans;strain Schmidt-2007						AM713183		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';Blepharisma undulans;strain TP2						KY855549		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';strain FYB2013031304						MT175504		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';strain KWBL11						KY855548		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';strain KWBL6						KY855547		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex';strain Y3						MG832820		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'bLdG1 lineage'	species	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'bLdG1 lineage';strain bLdG2						LN870005		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;Blepharisma elongatum	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;Blepharisma elongatum;strain Schmidt-2007						AM713186		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;Blepharisma hyalinum	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;Blepharisma hyalinum;strain Fernandes-2015						KP970225		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;Blepharisma hyalinum;strain Schmidt-2007						AM713184		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;Blepharisma persicinum	species		Perty 1849					type species of the genus; no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;Blepharisma steini	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;Blepharisma steini;strain BRN						KP970224		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;Blepharisma steini;strain Schmidt-2007						AM713187		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bpenardi complex'								species in this group are not clearly distinguishable by 18S alone
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bpenardi complex';Blepharisma bimicronucleatum	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bpenardi complex';Blepharisma bimicronucleatum;strain SKS800						KX119522		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bpenardi complex';Blepharisma penardi	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bpenardi complex';Blepharisma penardi;strain CY2018110501						MT175501		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bpenardi complex';Blepharisma penardi;strain YY2013102901						KR815913; MT175505		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bpenardi complex';Blepharisma sinicum	species				Blepharisma sp. JJ-2014			
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bpenardi complex';Blepharisma sinicum;strain S001						KF206427		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Fabrea	genus		Henneguy 1890	Bursalinus.	Fabreidae			single genus Fabrea in family Fabreidae Shazib et al. 2014
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Fabrea;Fabrea salina	species		Henneguy 1890					type species of the genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Fabrea;Fabrea salina;strain FXP2009060201						KM222110		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Fabrea;Fabrea salina;strain LesF						DQ168805		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Fabrea;Fabrea salina;strain Miao-2008						EU583991		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Fabrea;Fabrea salina;strain MMETSP-1345							EP00361; https://doi.org/10.6084/m9.figshare.12417881	
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Fabrea;Fabrea salina;strain SKS247						KJ651817		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Fabrea;Fabrea salina;strain TorF						DQ168806		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';'MF clade'								18S-based group; Maristentor and folliculinids form a well-supported clade
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';'MF clade';Folliculinidae	family		Dons 1914					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';'MF clade';Folliculinidae;Ampullofolliculina	genus		Hadži 1951			JX457420; JX457421		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';'MF clade';Folliculinidae;Ampullofolliculina;Ampullofolliculina lageniformis	species		Hadži 1951					type species of the genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';'MF clade';Folliculinidae;Ampullofolliculina;Ampullofolliculina lageniformis;strain LBR-201501050401-05						MK775465		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';'MF clade';Folliculinidae;Ampullofolliculina;Ampullofolliculina lageniformis;strain LBR-201501050402-01						MK775460		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';'MF clade';Folliculinidae;Eufolliculina	genus		Hadži 1951					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';'MF clade';Folliculinidae;Eufolliculina;Eufolliculina moebiusi	species		Kahl 1932	Folliculina moebiusi				type species of the genus; no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';'MF clade';Folliculinidae;Eufolliculina;Eufolliculina uhligi	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';'MF clade';Folliculinidae;Eufolliculina;Eufolliculina uhligi;strain Lynn-1996						U47620		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';'MF clade';Folliculinidae;Folliculina	genus		Lamarck 1816	Freia partim; Lagotia				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';'MF clade';Folliculinidae;Folliculina;Folliculina ampulla	species		Müller 1786	Vorticella ampulla				type species of the genus; no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';'MF clade';Folliculinidae;Folliculina;strain CXR2007060503						MT175518		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';'MF clade';Folliculinidae;Folliculina;strain WWS-2008						EU583992		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';'MF clade';Folliculinidae;'Folliculinopsis'	genus	true	Fauré-Fremiet 1935					validity of the name disputed, but forms a distinct genetic lineage
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';'MF clade';Folliculinidae;'Folliculinopsis';strain CY2019022301						MT175517		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';'MF clade';Folliculinidae;'JX457419 lineage'	genus	true				JX457419		entirely environmental lineage so far
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';'MF clade';Folliculinidae;Metafolliculina	genus		Dons 1924	Freia partim				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';'MF clade';Folliculinidae;Metafolliculina;Metafolliculina nordgardi	species		Dons 1924					type species of the genus; no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';'MF clade';Folliculinidae;Metafolliculina;strain Meta1						KF639911		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';'MF clade';Folliculinidae;'SH85D05 lineage'	genus	true				EF688408		entirely environmental lineage so far
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';'MF clade';Maristentor	genus		Lobban et al. 2002		Maristentoridae			single genus Maristentor in family Maristentoridae Miao et al. 2005
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';'MF clade';Maristentor;Maristentor dinoferus	species		Lobban et al. 2002					type species of the genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';'MF clade';Maristentor;Maristentor dinoferus;strain Lobban-2002						AY630405; AY368689		type strain of the species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor	genus		Oken 1815	Diceratella; Ecclissa; Lima; Meserellus; Rhabdocaryon; Salpistes; Stentorella; Stentorina; Tubaria	Stentoridae			single genus Stentor in family Stentoridae Carus 1863
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;'AY2009D7 lineage'	species	true				HQ219450		entirely environmental lineage so far
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;'bLdG2 lineage'	species	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;'bLdG2 lineage';strain bLdG2						LN870008		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;'CY2019012101 lineage'	species	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;'CY2019012101 lineage';strain aTTo1						LN869971		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;'CY2019012101 lineage';strain CY2019012101						MT175528		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;'CY2019012101 lineage';strain DB-2010-cf-katashimai						FN659818		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;'Smultiformis1 lineage'	species	true						one of two lineages morphologically identified as S. multiformis
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;'Smultiformis1 lineage';strain 1-Pegau						FN659821		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;'Smultiformis2 lineage'	species	true						one of two lineages morphologically identified as S. multiformis
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;'Smultiformis2 lineage';strain 2-Liebenwalde						FN659822		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor amethystinus	species					HM135094; HM135098; HM135099		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor amethystinus;strain 3-Duebener-Heide						FN659808		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor amethystinus;strain 4-Averstra						FN659807		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor amethystinus;strain Fernandes-2015						KP970242		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor amethystinus;strain LaG						AY775566		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor amethystinus;strain Pucciarelli-2007						EF492142		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor amethystinus;strain Schmidt-2007						AM713191		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor coeruleus	species					GU070859		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor coeruleus;strain 10-Machern						FN659814		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor coeruleus;strain 11-Markkleeberg						FN659815		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor coeruleus;strain 12-Spain						FN659816		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor coeruleus;strain 5-Federsee						FN659809		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor coeruleus;strain 6-Markkleeberg						FN659810		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor coeruleus;strain 7-Machern						FN659811		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor coeruleus;strain 8-Chiemsee						FN659812		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor coeruleus;strain 9-Droyssig						FN659813		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor coeruleus;strain aPFEU3						LN869963		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor coeruleus;strain bLPN3						LN870031		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor coeruleus;strain cPFEU3						LN870152		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor coeruleus;strain Fernandes-2011						JQ282899		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor coeruleus;strain Fernandes-2015						KP970243		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor coeruleus;strain FYB2013041202						KM222111		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor coeruleus;strain GgTd						DQ132978		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor coeruleus;strain KNP3						KY855543		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor coeruleus;strain ML						LT628482		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor coeruleus;strain OK-4						MN160208		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor coeruleus;strain Pnur						DQ136037		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor coeruleus;strain R176						MN710413		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor coeruleus;strain Schmidt-2007						AM713189		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor coeruleus;strain SKS052						KJ651823		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor coeruleus;strain SKS241						KJ651825		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor coeruleus;strain STCD						KP970244		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor coeruleus;strain Stent1						KF639913		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor coeruleus;strain Zhu-2001						AF357145		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor elegans	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor elegans;strain Bernhard-2010						FN659817		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor igneus	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor igneus;strain Fernandes-2015						KP970245		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor igneus;strain NMF-2012						JQ282900		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor muelleri	species		Ehrenberg 1831			AJ130853		type species of the genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor muelleri;strain 1-Brazil						FN659820		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor muelleri;strain 1-Cranzahl						FN659819		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor muelleri;strain HK001						KY968737		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor muelleri;strain SKS144						KJ651824		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor polymorphus	species					GU070871		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor polymorphus;strain 3-Cranzahl						FN659823		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor polymorphus;strain Fernandes-2011						JQ282898		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor polymorphus;strain Hoshina-2012						AB727551		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor polymorphus;strain Schmidt-2007						AM713190		
