taxon	taxon rank	candidate	taxon author	synonyms	alternative names	sequence accs	EukProt ID	notes
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Ccurvum group';'Poe2.2 lineage';strain Poe2.2						AM295496		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';Chattonidium	genus		Villeneuve 1937					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';Chattonidium;Chattonidium setense	species		Villeneuve 1937					type species of the genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';Chattonidium;Chattonidium setense;strain Petroni-2006						AM295495		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Cminutum group'								candidate genus (unless it contains the type species of Condylostoma)
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Cminutum group';Condylostoma elongatum	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Cminutum group';Condylostoma elongatum;strain YY2012112307						KJ866148		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Cminutum group';Condylostoma magnum	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Cminutum group';Condylostoma magnum;strain COL2							EP00360; https://doi.org/10.6084/m9.figshare.12417881	
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Cminutum group';Condylostoma magnum;strain XY2009041405						KM222108		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Cminutum group';Condylostoma minutum	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Cminutum group';Condylostoma minutum;strain CMI1						KX138648		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Cminutum group';Condylostoma minutum;strain Guo-2006						DQ822482		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Cminutum group';Condylostoma minutum;strain QZS2013032901						MT175510		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Cminutum group';Condylostoma minutum;strain SKS092S153						KJ651815		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Cminutum group';Condylostoma reichi	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Cminutum group';Condylostoma reichi;strain 2011121606						MT175514		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Cminutum group';Condylostoma spatiosum	species							
