taxon	taxon rank	candidate	taxon author	synonyms	alternative names	sequence accs	EukProt ID	notes
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Microthoracida;Microthoracidae;Stammeridium	genus		Wenzel 1969					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Microthoracida;Microthoracidae;Stammeridium;Stammeridium kahli	species		(Wenzel 1953) Wenzel 1969	Stammeriella kahli				type species of the genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Microthoracida;Microthoracidae;Trochiliopsis	genus		Penard 1922					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Microthoracida;Microthoracidae;Trochiliopsis;Trochiliopsis australis	species		Foissner et al. 1988					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Microthoracida;Microthoracidae;Trochiliopsis;Trochiliopsis australis;strain B175						JQ918367		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Microthoracida;Microthoracidae;Trochiliopsis;Trochiliopsis opaca	species		Penard 1922					type species of the genus; no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Microthoracida;Microthoracidae;'EF024200 lineage'	genus	true				EF024200; EF024334; EF024662		entirely environmental lineage so far
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Microthoracida;Microthoracidae;'GQ330625 lineage'	genus	true				GQ330625		entirely environmental lineage so far
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Microthoracida;Microthoracidae;'GQ330626 lineage'	genus	true				GQ330626		entirely environmental lineage so far
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Microthoracida;Pseudomicrothorax	genus		Mermod 1914	Craspedothorax				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Microthoracida;Pseudomicrothorax;Pseudomicrothorax agilis	species		Mermod 1914	Craspedothorax gracilis; Pseudomicrothorax gracilis				type species of the genus; no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Microthoracida;Pseudomicrothorax;Pseudomicrothorax dubius	species		(Maupas 1883) Penard 1922	Chilodon dubius				
