taxon	taxon rank	candidate	taxon author	synonyms	alternative names	sequence accs	EukProt ID	notes
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;Geleiidae;Gellertia	genus		Dragesco 1999					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;Geleiidae;Gellertia;Gellertia heterotricha	species		Dragesco 1999					type species of the genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary'								18S-based group; loxodids, kentrophorids and trachelocercids form a well-supported clade at the exclusion of geleiids and Wilbertomorpha
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida	order		Jankowski 1980					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Cryptopharyngidae	family		Jankowski 1980					no genetic data yet for this taxon
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Cryptopharyngidae;Apocryptopharynx	genus		Foissner 1996					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Cryptopharyngidae;Apocryptopharynx;Apocryptopharynx hippocampoides	species		Foissner 1996					type species of the genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Cryptopharyngidae;Apocryptopharynx;Apocryptopharynx wardi	species		(Small & Lynn1985) Foissner 1996	Cryptopharynx wardi				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Cryptopharyngidae;Apocryptopharynx;Apocryptopharynx discoidalis	species		Xu et al. 2017					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Cryptopharyngidae;Apocryptopharynx;Apocryptopharynx discoidalis;strain XY11050704								type strain of the species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Cryptopharyngidae;Cryptopharynx	genus		Kahl 1928					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Cryptopharyngidae;Cryptopharynx;Cryptopharynx setigerus	species		Kahl 1928					type species of the genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Cryptopharyngidae;Cryptopharynx;Cryptopharynx enigmaticus	species		Dragesco 1954					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Cryptopharyngidae;Cryptopharynx;Cryptopharynx kahli	species		Dragesco 1954					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Cryptopharyngidae;Cryptopharynx;Cryptopharynx mauritanicus	species		Dragesco 1965					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Cryptopharyngidae;Cryptopharynx;Cryptopharynx multinucleatum	species		Dragesco 1954					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Cryptopharyngidae;Cryptopharynx;Cryptopharynx minutus	species		Xu et al. 2017					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Cryptopharyngidae;Cryptopharynx;Cryptopharynx minutus;strain XY11050702								type strain of the species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae	family		Bütschli 1889					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;Loxodes	genus		Ehrenberg 1830	Drepanostoma; Pelecida; Triodonta				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;Loxodes;Loxodes rostrum	species		Ehrenberg in Fromentel 1875					type species of the genus; no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;Loxodes;'Loxodes orientalis'	species	true						not formally described, but forms a distinct genetic lineage
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;Loxodes;'Loxodes orientalis';strain PHB2009041401						KJ524910; KM222107		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;Loxodes;Loxodes rex	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;Loxodes;Loxodes rex;strain FL1						MK507765		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;Loxodes;Loxodes vorax	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;Loxodes;Loxodes vorax;strain XY2011051201						KJ524909		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;Loxodes;'Lstriatus complex'						AY605230		species in this group are not clearly distinguishable by 18S alone
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;Loxodes;'Lstriatus complex';Loxodes magnus	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;Loxodes;'Lstriatus complex';Loxodes magnus;strain Hirt-1995						L31519		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;Loxodes;'Lstriatus complex';Loxodes striatus	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;Loxodes;'Lstriatus complex';Loxodes striatus;strain Leipe-1995						U24248		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;Loxodes;'Lstriatus complex';Loxodes striatus;strain L5						AM946031		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;Loxodes;'Lstriatus complex';strain SKS406-vorax						KJ651829		identified as L. vorax
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;Loxodes;'Lstriatus complex';strain aPFEU1						LN869953		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;Loxodes;'Lstriatus complex';strain aPFT1						LN869968		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;Loxodes;'Lstriatus complex';strain cPFEU1						LN870137		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;Remanella	genus		Foissner 1996					polyphyletic genus; type species not yet sequenced
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;Remanella;Remanella multinucleata	species		(Kahl 1933) Foissner 1996					type species of the genus; no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;Remanella;Remanella microstoma	species		(Dragesco 1953) Foissner 1996					no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;Remanella;Remanella rugosa	species			R. unirugosa				no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;'Rgranulosa lineage'	genus	true						candidate genus (unless it contains the type species of Remanella)
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;'Rgranulosa lineage';Remanella achroma	species		Xu et al. 2013					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;'Rgranulosa lineage';Remanella achroma;strain XY09112401						JX015374		type strain of the species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;'Rgranulosa lineage';Remanella granulosa	species		(Kahl 1933) Foissner 1996	R. multicorpusculata; R. trichocysta				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;'Rgranulosa lineage';Remanella granulosa;strain XY10111001						JQ768408		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;'Rgranulosa lineage';Remanella minuta	species		(Dragesco 1954) Foissner 1996					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;'Rgranulosa lineage';Remanella minuta;strain XY10102701						JQ768406		JQ768406 is a chimeric sequence contaning part of a Spirotrichea ciliate
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;'Rgranulosa lineage';'1 WS-2012 lineage'	species	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;'Rgranulosa lineage';'1 WS-2012 lineage';strain LWW08031803						FJ876957; JX015376		FJ876957 & JX015376 are chimeric sequences contaning part of a Spirotrichea ciliate
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;'Rgranulosa lineage';'3 WS-2012 lineage'	species	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;'Rgranulosa lineage';'3 WS-2012 lineage';strain XY09092301						JX015378		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;'Rmargaritifera lineage'	genus	true						candidate genus (unless it contains the type species of Remanella)
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;'Rmargaritifera lineage';Remanella margaritifera	species		(Kahl 1933) Foissner 1996					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;'Rmargaritifera lineage';Remanella margaritifera;strain XY09061001						JX015375		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;'Rmargaritifera lineage';Remanella macrostoma	species		Xu et al. 2013					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;'Rmargaritifera lineage';Remanella macrostoma;strain XY10062801						JX015373		type strain of the species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;'Rsinica lineage'	genus	true						candidate genus (unless it contains the type species of Remanella)
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;'Rsinica lineage';Remanella sinica	species		Xu et al. 2012					
