taxon	taxon rank	candidate	taxon author	synonyms	alternative names	sequence accs	EukProt ID	notes
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';'T90 lineage'	genus	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';'T90 lineage';strain T90						AJ971531		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';Trachelocerca	genus		(Ehrenberg 1840) Foissner & Dragesco 1996	Gruvelina; Nephrocerca; Protrichophora		AB505537; AB505538; AB505590		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';Trachelocerca;Trachelocerca chinensis	species		Xu et al. 2014					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';Trachelocerca;Trachelocerca chinensis;strain Gao-2008						FJ463746		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';Trachelocerca;Trachelocerca chinensis;strain XY2009121601						KJ768667		type strain of the species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';Trachelocerca;Trachelocerca ditis	species		(Wright 1982) Foissner & Dragesco 1996	Tracheloraphis ditis				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';Trachelocerca;Trachelocerca ditis;strain Mazei-2009						GQ167153		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';Trachelocerca;Tracheloraphis huangi	species		Xu et al. 2011					this species should be transfered to genus Trachelocerca
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';Trachelocerca;Tracheloraphis huangi;strain YY2012061301						KJ609037		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';Trachelocerca;Tracheloraphis huangi;strain AE2010041301						KJ609038		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';Trachelocerca;Tracheloraphis huangi;strain XY2009062402						KJ609039		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';Trachelocerca;Trachelocerca orientalis	species		Yan et al. 2015					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';Trachelocerca;Trachelocerca orientalis;strain YY2012040801						KJ609036		type strain of the species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';Trachelocerca;Trachelocerca sagitta	species		(Müller 1786) Ehrenberg 1840	Vibrio sagitta				type species of the genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';Trachelocerca;Trachelocerca sagitta;strain XY09090301						KC542935		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';Trachelocerca;strain C03						AJ971527		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';Trachelocerca;strain L1						AJ971526		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';Trachelocerca;strain T6						AJ971533; AJ971534		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;Sultanophrys	genus		Foissner & Al-Rasheid 1999					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;Sultanophrys;Sultanophrys arabica	species							type species of the genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros	genus		Sauerbrey 1928	Centrophorella; Centrophorus	Kentrophoridae			single genus Kentrophoros in family Kentrophoridae Jankowski 1980, but its genetic diversity could justify separation in multiple genera
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;Kentrophoros fasciolatus	species		Sauerbrey 1928	Kentrophoros fasciolatum				type species of the genus; no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'Kflavus lineage'								
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'Kflavus lineage';Kentrophoros flavus	species		Raikov & Kovaleva 1968					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'Kflavus lineage';Kentrophoros flavus;strain QD061123						FJ467505		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'Kflavus lineage';Kentrophoros gracilis	species		Raikov 1963					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'Kflavus lineage';Kentrophoros gracilis;strain QD061131						FJ467506		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'FBG lineage'								
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'FBG lineage';strain S432						LT621835		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'FBG lineage';strain S435						LT621836		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'RM1-SGM25 lineage'						AB505482		entirely environmental lineage so far
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'RM2-SGM25 lineage'						AB505533		entirely environmental lineage so far
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade'						JX268899		18S-based group; potential genus level
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'FB lineage'	species	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'FB lineage';strain S136						LT621811		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'FB lineage';strain S137						LT621812		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'FB lineage';strain S138						LT621813		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'FB lineage';strain S233						LT621825		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'FB lineage';strain S234						LT621826		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'FB lineage';strain S3116						LT621829		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'FM-G lineage'								species in this group are not clearly distinguishable by 18S alone
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'FM-G lineage';'FM morphotype'	species	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'FM-G lineage';'FM morphotype';strain BZ163						LT621847		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'FM-G lineage';'FM morphotype';strain BZ164						LT621848		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'FM-G lineage';'FM morphotype';strain BZ165						LT621849		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'FM-G lineage';'FM morphotype';strain BZ176						LT621850		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'FM-G lineage';'G morphotype'	species	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'FM-G lineage';'G morphotype';strain BZ157						LT621846		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'FM-G lineage';'G morphotype';strain BZ180						LT621851		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'FM-G lineage';'G morphotype';strain BZ181						LT621852		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'FM-G lineage';'G morphotype';strain BZ185						LT621853		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'FM-G lineage';strain BZ50						LT621856		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'H lineage'	species	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'H lineage';strain H6						LT621810		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'H lineage';strain SA2B12						LT621837		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'H lineage';strain SA2B14						LT621838		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'H lineage';strain SA2B15						LT621839		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'H lineage';strain SA2B16						LT621840		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'H lineage';strain SA2B17						LT621841		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'H lineage';strain SA2B18						LT621842		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'H lineage';strain SA2B19						LT621843		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'H lineage';strain SA2B20						LT621844		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'BZ61 lineage'	species	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'BZ61 lineage';strain BZ61						LT621857		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'S256 lineage'	species	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'S256 lineage';strain S256						LT621828		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-1 clade';'RM2-SGM26 lineage'	species	true				AB505534		entirely environmental lineage so far
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade'								18S-based group; potential genus level
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'BT lineage'	species	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'BT lineage';strain S245						LT621778-LT621793		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'BT lineage';strain S247						LT621794-LT621809		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'FW lineage'	species	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'FW lineage';strain BZ131						LT621756-LT621767		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'FW lineage';strain BZ15						LT621768-LT621777		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'LFY lineage'	species	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'LFY lineage';strain M6						LT621906		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'LFY lineage';strain M7						LT621907		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'LFY lineage';strain BY7						LT621908		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'LPFa lineage'	species	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'LPFa lineage';strain S2211						LT621814		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'LPFa lineage';strain S313						LT621905		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'LPFa lineage';strain S314						LT621830		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'LPFa lineage';strain S315						LT621831		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'LPFa lineage';strain S424						LT621832		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'LPFa lineage';strain S425						LT621833		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'LPFa lineage';strain S426						LT621834		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'LPFC lineage'								species in this group are not clearly distinguishable by 18S alone
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'LPFC lineage';'LPF morphotype'	species	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'LPFC lineage';'LPF morphotype';strain S2212						LT621815		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'LPFC lineage';'LPF morphotype';strain S2219						LT621819		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'LPFC lineage';'LPF morphotype';strain S2310						LT621823		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'LPFC lineage';'LPF morphotype';strain S2311						LT621824		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'LPFC lineage';'LPF morphotype';strain S239						LT621827		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'LPFC lineage';'PF morphotype'	species	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'LPFC lineage';'PF morphotype';strain S225						LT621820		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'LPFC lineage';'PF morphotype';strain S226						LT621821		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'LPFC lineage';'PF morphotype';strain S228						LT621822		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'LPFC lineage';'PFC morphotype'	species	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'LPFC lineage';'PFC morphotype';strain S2215						LT621816		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'LPFC lineage';'PFC morphotype';strain S2216						LT621817		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'LPFC lineage';strain S2218						LT621818		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'MB lineage'	species	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'MB lineage';strain BZ197						LT621858		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'MB lineage';strain BZ198						LT621854; LT621914-LT621927		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'MB lineage';strain BZ199						LT621855; LT621928-LT621939		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'SD lineage'	species	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'SD lineage';strain S126						LT621859-LT621866; LT621875-LT621889		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'SD lineage';strain S127						LT621867-LT621874; LT621890-LT621904		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'TC lineage'	species	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'TC lineage';strain BZ123						LT621940-LT621952		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'TC lineage';strain BZ125						LT621953-LT621967		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'TUN lineage'	species	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'TUN lineage';strain BY1						LT621909		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'TUN lineage';strain BY2						LT621910		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'TUN lineage';strain BY3						LT621911		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'UNK lineage'	species	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'UNK lineage';strain BY8						LT621912		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'UNK lineage';strain BY19						LT621913		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'BZ133 lineage'	species	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Kentrophoros;'KENT-2 clade';'BZ133 lineage';strain BZ133						LT621845		
