taxon	UniEuk id	author	rank	status	type	candidate	description	synonyms	alternative names	accessions	envo terms	locations	EukProt ID	reference
Eukaryota;'CRuMs';Glissandra;Glissandra similis;	UniEuk#3432	Lee 2006	species											https://doi.org/10.1007/BF03022413
Eukaryota;'CRuMs';Mantamonas;	UniEuk#4	Cavalier-Smith & Glücksman in Glücksman et al. 2011	genus						Mantamonadida;Mantamonadidae					https://doi.org/10.1016/j.protis.2010.06.004
Eukaryota;'CRuMs';Mantamonas;'AF21 lineage';	UniEuk#3429		species			true								
Eukaryota;'CRuMs';Mantamonas;'AF21 lineage';strain AF21;	UniEuk#3430								strain Tanzania	GU001156;GU001157				
Eukaryota;'CRuMs';Mantamonas;Mantamonas plastica;	UniEuk#3427	Glücksman & Cavalier-Smith in Glücksman et al. 2011	species											https://doi.org/10.1016/j.protis.2010.06.004
Eukaryota;'CRuMs';Mantamonas;Mantamonas plastica;strain CCAP-1946/1;	UniEuk#3428								strain Cumbria	GU001154;GU001155			EP00003; https://doi.org/10.6084/m9.figshare.12417881	
Eukaryota;'MB07.52 lineage';	UniEuk#3353		genus			true								
Eukaryota;'NAMAKO-1 clade';	UniEuk#3354													
Eukaryota;'NAMAKO-2 clade';	UniEuk#3355													
Eukaryota;'RM2-SGM69 clade';	UniEuk#3356													
Eukaryota;'ST5960.106 clade';	UniEuk#3357													
Eukaryota;'cLA13B12 lineage';	UniEuk#3352		genus			true								
Eukaryota;Amorphea;	UniEuk#14	Adl et al. 2012												
Eukaryota;Amorphea;Amoebozoa;	UniEuk#15	Cavalier-Smith 1998												
Eukaryota;Amorphea;Amoebozoa;'HAVOmat lineage';	UniEuk#314		genus			true								
Eukaryota;Amorphea;Amoebozoa;'UI13E03 clade';	UniEuk#315													
Eukaryota;Amorphea;Amoebozoa;'YS16Ec12 lineage';	UniEuk#316		genus			true								
Eukaryota;Amorphea;Amoebozoa;Discosea;	UniEuk#16	Smirnov et al. 2011	class											
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;	UniEuk#17	Cavalier-Smith et al. 2016												
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';	UniEuk#18													
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';Acanthopodida;	UniEuk#19	Page 1976	order											
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';Acanthopodida;'DLPV clade';	UniEuk#24													
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';Acanthopodida;'DLPV clade';Dracoamoeba;	UniEuk#25		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';Acanthopodida;'DLPV clade';Luapeleamoeba;	UniEuk#26		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';Acanthopodida;'DLPV clade';Protacanthamoeba;	UniEuk#27		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';Acanthopodida;'DLPV clade';Vacuolamoeba;	UniEuk#28		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';Acanthopodida;Acanthamoeba;	UniEuk#20		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';Acanthopodida;Acanthamoeba;'Aastronyxis clade';	UniEuk#21													
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';Acanthopodida;Acanthamoeba;'Acastellanii clade';	UniEuk#22													
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';Acanthopodida;Balamuthia;	UniEuk#23		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';Pellitida;	UniEuk#29	Kang et al. 2017	order											
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';Pellitida;Goceviidae;	UniEuk#30													
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';Pellitida;Goceviidae;Endostelium;	UniEuk#32		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';Pellitida;Goceviidae;Gocevia;	UniEuk#31		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';Pellitida;Goceviidae;Paragocevia;	UniEuk#33		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';Pellitida;Pellita;	UniEuk#34		genus						Pellitidae					
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;Himatismenida;	UniEuk#35	Page 1987	order											
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;Himatismenida;Cochliopodium;	UniEuk#36		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;Himatismenida;Ovalopodium;	UniEuk#37		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;Himatismenida;Parvamoeba;	UniEuk#38		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;Himatismenida;Planopodium;	UniEuk#39		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;	UniEuk#40	Smirnov et al. 2005												
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;'JAMX8 lineage';	UniEuk#77		genus			true								
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;'core flabellinids';	UniEuk#41													
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;'core flabellinids';Dactylopodida;	UniEuk#42	Kang et al. 2017	order											
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;'core flabellinids';Dactylopodida;Cunea;	UniEuk#43		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;'core flabellinids';Dactylopodida;Paramoebidae;	UniEuk#44		family											
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;'core flabellinids';Dactylopodida;Paramoebidae;Korotnevella;	UniEuk#45		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;'core flabellinids';Dactylopodida;Paramoebidae;Paramoeba;	UniEuk#46		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;'core flabellinids';Dactylopodida;Paramoebidae;Paramoeba;'Patlantica clade';	UniEuk#47													
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;'core flabellinids';Dactylopodida;Paramoebidae;Paramoeba;'Peilhardi clade';	UniEuk#48													
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;'core flabellinids';Dactylopodida;Paramoebidae;Pseudoparamoeba;	UniEuk#49		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;'core flabellinids';Dactylopodida;Vexillifera;	UniEuk#50		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;'core flabellinids';Vannellida;	UniEuk#51	Smirnov et al. 2005	order											
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;'core flabellinids';Vannellida;'ACN1 lineage';	UniEuk#57		genus			true								
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;'core flabellinids';Vannellida;'DIVA3-517/6/12 lineage';	UniEuk#58		genus			true								
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;'core flabellinids';Vannellida;'Elev_18S_807 lineage';	UniEuk#59		genus			true								
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;'core flabellinids';Vannellida;Clydonella;	UniEuk#52		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;'core flabellinids';Vannellida;Lingulamoeba;	UniEuk#53		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;'core flabellinids';Vannellida;Paravannella;	UniEuk#54		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;'core flabellinids';Vannellida;Ripella;	UniEuk#55		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;'core flabellinids';Vannellida;Vannella;	UniEuk#56		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Dermamoebida;	UniEuk#60	Smirnov et al. 2011	order											
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Dermamoebida;Dermamoebidae;	UniEuk#61		family											
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Dermamoebida;Dermamoebidae;Dermamoeba;	UniEuk#62		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Dermamoebida;Dermamoebidae;Paradermamoeba;	UniEuk#63		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Dermamoebida;Mayorella;	UniEuk#64		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Mycamoebidae;	UniEuk#65		family											
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Mycamoebidae;'IAFDv98 lineage';	UniEuk#66													
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Mycamoebidae;'LEMD255 lineage';	UniEuk#67													
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Mycamoebidae;'LKM74 lineage';	UniEuk#68													
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Mycamoebidae;'LKM74 lineage';Mycamoeba;	UniEuk#69	Blandenier et al. 2017	genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Stygamoeba;	UniEuk#70		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Thecamoebida;	UniEuk#71	Smirnov et al. 2011	order											
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Thecamoebida;Sappinia;	UniEuk#72		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Thecamoebida;Stenamoeba;	UniEuk#73		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Thecamoebida;Stratorugosa;	UniEuk#74		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Thecamoebida;Thecamoeba;	UniEuk#75		genus											
Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia;Vermistella;	UniEuk#76		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;	UniEuk#78	Kang et al. 2017												
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;	UniEuk#79													
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Entamoebidae;	UniEuk#81		family											
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Entamoebidae;Endamoeba;	UniEuk#88		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Entamoebidae;Entamoeba;	UniEuk#82	Casagrandi & Barbagallo 1895	genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Entamoebidae;Entamoeba;'Ecoli lineage';	UniEuk#84													
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Entamoebidae;Entamoeba;'Egingivalis lineage';	UniEuk#85													
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Entamoebidae;Entamoeba;'Emarina lineage';	UniEuk#86													
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Entamoebidae;Entamoeba;'Epolecki lineage';	UniEuk#87													
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Entamoebidae;Entamoeba;'core entamoebids';	UniEuk#83													
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Mastigamoebida;	UniEuk#89		order											
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Mastigamoebida;'mastigamoebids A';	UniEuk#91		genus			true								
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Mastigamoebida;'mastigamoebids B';	UniEuk#92													
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Mastigamoebida;'mastigamoebids B';'EI lineage';	UniEuk#93													
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Mastigamoebida;'mastigamoebids B';'EI lineage';Endolimax;	UniEuk#94	Kuenen & Swellengrebel 1917	genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Mastigamoebida;'mastigamoebids B';'EI lineage';Iodamoeba;	UniEuk#95	Dobell 1919	genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Mastigamoebida;'mastigamoebids B';'Mlenta lineage';	UniEuk#96		genus			true								
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Mastigamoebida;'mastigamoebids B';'Msimplex lineage';	UniEuk#97		genus			true								
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Mastigamoebida;Mastigamoeba;	UniEuk#90	Schulze, 1875	genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Mastigamoebida;Mastigina;	UniEuk#98	Frenzel 1897	genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Pelobiontida;	UniEuk#99		order											
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Pelobiontida;Mastigella;	UniEuk#100	Frenzel 1897	genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Pelobiontida;Pelomyxa;	UniEuk#101	Greeff 1874	genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Rhizomastix;	UniEuk#102	Alexeieff 1911	genus						Rhizomastixidae					
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Rhizomastix;'Relongata clade';	UniEuk#103													
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Rhizomastix;'Rlibera clade';	UniEuk#104													
Eukaryota;Amorphea;Amoebozoa;Evosea;Archamoebea;Tricholimax;	UniEuk#80	Frenzel 1897	genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Cutosea;	UniEuk#105	Cavalier-Smith et al. 2016	class											
Eukaryota;Amorphea;Amoebozoa;Evosea;Cutosea;Armaparvus;	UniEuk#106		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Cutosea;Idionectes;	UniEuk#107	Hess et Simpson 2019	genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Cutosea;Sapocribrum;	UniEuk#108		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Cutosea;Squamamoeba;	UniEuk#109		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;	UniEuk#110	Kang et al. 2017												
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;	UniEuk#111	Sheikh et al. 2018												
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Acytosteliales;	UniEuk#112		order											
