taxon	UniEuk id	author	rank	status	type	candidate	description	synonyms	alternative names	accessions	envo terms	locations	EukProt ID	reference
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'core fungi';Mucoromycota;Mortierellomycotina;	UniEuk#567													
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'core fungi';Mucoromycota;Mucoromycotina;	UniEuk#568													
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'core fungi';Mucoromycota;Mucoromycotina;Endogonales;	UniEuk#570		order											
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'core fungi';Mucoromycota;Mucoromycotina;Mucorales;	UniEuk#569		order											
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'core fungi';Mucoromycota;Mucoromycotina;Umbelopsidales;	UniEuk#571		order											
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'core fungi';Nephridiophaga;	UniEuk#595		genus											
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'core fungi';Olpidium;	UniEuk#596		genus						Olpidiomycota					
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'core fungi';Sanchytriaceae;	UniEuk#597	Karpov & Aleoshin 2017	family											
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'core fungi';Sanchytriaceae;Amoeboradix;	UniEuk#598		genus											
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'core fungi';Sanchytriaceae;Sanchytrium;	UniEuk#599		genus											
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'core fungi';Zoopagomycota;	UniEuk#551	Smith, Spatafora & Stajich 2016												
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'core fungi';Zoopagomycota;Entomophthoromycotina;	UniEuk#552													
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'core fungi';Zoopagomycota;Entomophthoromycotina;Basidiobolales;	UniEuk#553		order						Basidiobolomycetes					
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'core fungi';Zoopagomycota;Entomophthoromycotina;Entomophthorales;	UniEuk#554		order											
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'core fungi';Zoopagomycota;Entomophthoromycotina;Neozygitales;	UniEuk#555		order											
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'core fungi';Zoopagomycota;Kickxellomycotina;	UniEuk#556	Benny 2007												
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'core fungi';Zoopagomycota;Kickxellomycotina;Asellaria;	UniEuk#560		genus											
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'core fungi';Zoopagomycota;Kickxellomycotina;Barbatospora;	UniEuk#561		genus											
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'core fungi';Zoopagomycota;Kickxellomycotina;Dimargaritales;	UniEuk#557		order											
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'core fungi';Zoopagomycota;Kickxellomycotina;Harpellales;	UniEuk#558		order											
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'core fungi';Zoopagomycota;Kickxellomycotina;Kickxellales;	UniEuk#559		order											
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'core fungi';Zoopagomycota;Kickxellomycotina;Orphella;	UniEuk#562		genus											
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'core fungi';Zoopagomycota;Kickxellomycotina;Ramicandelaber;	UniEuk#563		genus											
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'core fungi';Zoopagomycota;Zoopagomycotina;	UniEuk#564													
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'cryptomycota';	UniEuk#600	Jones & Richards 2011							Rozellomycota					
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'cryptomycota';'NCLC1 lineage';	UniEuk#609		genus			true								
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'cryptomycota';'TAGIRI-23 lineage';	UniEuk#610		genus			true								
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'cryptomycota';Microsporidia;	UniEuk#601	Balbiani 1882												
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'cryptomycota';Microsporidia;'canonical microsporidia';	UniEuk#602													
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'cryptomycota';Microsporidia;Metchnikovellidae;	UniEuk#603		family											
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'cryptomycota';Microsporidia;Mitosporidium;	UniEuk#604		genus											
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'cryptomycota';Microsporidia;Nucleophaga;	UniEuk#605		genus											
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'cryptomycota';Microsporidia;Paramicrosporidium;	UniEuk#606		genus											
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'cryptomycota';Rozellida;	UniEuk#607	Lara et al. 2010	order											
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;'cryptomycota';Rozellida;Rozella;	UniEuk#608		genus											
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Aphelidea;	UniEuk#611	Gromov 2000							Aphelidiomycota					
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Aphelidea;'FD lineage';	UniEuk#616		genus			true								
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Aphelidea;'KRL01E36 lineage';	UniEuk#617													
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Aphelidea;'PA2009E13 lineage';	UniEuk#618													
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Aphelidea;'WIM48 lineage';	UniEuk#619													
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Aphelidea;Amoeboaphelidium;	UniEuk#612		genus											
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Aphelidea;Aphelidium;	UniEuk#613		genus											
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Aphelidea;Paraphelidium;	UniEuk#614		genus											
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Aphelidea;Pseudoaphelidium;	UniEuk#615		genus											
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Rotosphaerida;	UniEuk#620	Rainer 1968	order						Cristidiscoidida;Nucleariidae					
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Rotosphaerida;'pompholyxophryids';	UniEuk#626													
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Rotosphaerida;'pompholyxophryids';Lithocolla;	UniEuk#628		genus											
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Rotosphaerida;'pompholyxophryids';Pompholyxophrys;	UniEuk#627		genus											
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Rotosphaerida;Fonticula;	UniEuk#621		genus											
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Rotosphaerida;Nuclearia;	UniEuk#622		genus											
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Rotosphaerida;Nuclearia;'Npattersoni clade';	UniEuk#623													
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Rotosphaerida;Nuclearia;'Nthermophila clade';	UniEuk#624													
Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Rotosphaerida;Parvularia;	UniEuk#625		genus											
Eukaryota;Ancyromonadida;	UniEuk#629	Cavalier-Smith 1998	order						Planomonadida					
Eukaryota;Ancyromonadida;'3505 lineage';	UniEuk#635		genus			true								
Eukaryota;Ancyromonadida;'GoC5_C01 lineage';	UniEuk#636		genus			true								
Eukaryota;Ancyromonadida;Ancyromonadidae;	UniEuk#630		family											
Eukaryota;Ancyromonadida;Ancyromonadidae;Ancyromonas;	UniEuk#631		genus											
Eukaryota;Ancyromonadida;Ancyromonadidae;Nutomonas;	UniEuk#632		genus											
Eukaryota;Ancyromonadida;Fabomonas;	UniEuk#633		genus											
Eukaryota;Ancyromonadida;Planomonas;	UniEuk#634		genus											
Eukaryota;Diaphoretickes;	UniEuk#637	Adl et al. 2012												
Eukaryota;Diaphoretickes;Ancoracysta;	UniEuk#638	Janouskovec et al. 2017	genus											https://doi.org/10.1016/j.cub.2017.10.051
Eukaryota;Diaphoretickes;Ancoracysta;Ancoracysta twista;	UniEuk#3455	Janouškovec et al. 2017	species											https://doi.org/10.1016/j.cub.2017.10.051
Eukaryota;Diaphoretickes;Ancoracysta;Ancoracysta twista;strain TD-1;	UniEuk#3456									MG202008-MG202010			EP00164; https://doi.org/10.6084/m9.figshare.12417881	
Eukaryota;Diaphoretickes;Archaeplastida;	UniEuk#639	Adl et al. 2005												
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';	UniEuk#844													
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Picozoa;	UniEuk#845	Seenivasan et al. 2013							Picobiliphytes					
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Picozoa;'BP1-3 clade';	UniEuk#846													
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Picozoa;'BP1-3 clade';'BP3 group';	UniEuk#848		genus			true								
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Picozoa;'BP1-3 clade';'COSAG04 lineage';	UniEuk#849		genus			true								
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Picozoa;'BP1-3 clade';Picomonas;	UniEuk#847		genus											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Picozoa;'PICO-1 clade';	UniEuk#850													
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Picozoa;'PICO-1 clade';'BP2 group';	UniEuk#851		genus			true								
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Picozoa;'PICO-1 clade';'SAG11 lineage';	UniEuk#853		genus			true								
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Picozoa;'PICO-1 clade';'deep branching Pico 1';	UniEuk#852		genus			true								
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Picozoa;'deep branching Pico 2';	UniEuk#854		genus			true								
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodelphidia;	UniEuk#855		phylum											https://doi.org/10.1038/s41586-019-1398-6
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodelphidia;'TAGIRI-28 clade';	UniEuk#857		genus			true				AB191436;GU824262;GU824809;GU825010				
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodelphidia;Rhodelphis;	UniEuk#856	Tikhonenkov, Gawryluk, Mylnikov, & Keeling in Gawryluk et al. 2019	genus						Rhodelphea;Rhodelphida;Rhodelphidae					https://doi.org/10.1038/s41586-019-1398-6
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodelphidia;Rhodelphis;Rhodelphis limneticus;	UniEuk#3457	Tikhonenkov, Gawryluk, Mylnikov, & Keeling in Gawryluk et al. 2019	species											https://doi.org/10.1038/s41586-019-1398-6
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodelphidia;Rhodelphis;Rhodelphis limneticus;strain Colp-38;	UniEuk#3458									MK966713			EP00735; https://doi.org/10.6084/m9.figshare.12417881	
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodelphidia;Rhodelphis;Rhodelphis marinus;	UniEuk#3459	Tikhonenkov, Gawryluk, Mylnikov, & Keeling in Gawryluk et al. 2019	species											https://doi.org/10.1038/s41586-019-1398-6
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodelphidia;Rhodelphis;Rhodelphis marinus;strain Colp-29;	UniEuk#3460									MK966712			EP00736; https://doi.org/10.6084/m9.figshare.12417881	
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;	UniEuk#858	Rabenhorst 1863							Rhodophyceae;Rhodobionta					
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Cyanidiales;	UniEuk#859	Christensen 1962	order						Cyanidiophyceae;Cyanidiophytina					
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Cyanidiales;Cyanidioschyzon;	UniEuk#860		genus											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Cyanidiales;Cyanidium;	UniEuk#861		genus											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Cyanidiales;Galdieria;	UniEuk#862		genus											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;	UniEuk#863	Saunders & Hommersand 2004												
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Bangiales;	UniEuk#864	N�geli 1847	order						Bangiophyceae					
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Bangiales;Bangia;	UniEuk#865		genus											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Bangiales;Boreophyllum;	UniEuk#866		genus											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Bangiales;Clymene;	UniEuk#867		genus											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Bangiales;Dione;	UniEuk#868		genus											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Bangiales;Fuscifolium;	UniEuk#869		genus											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Bangiales;Lysithea;	UniEuk#870		genus											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Bangiales;Minerva;	UniEuk#871		genus											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Bangiales;Neothemis;	UniEuk#872		genus											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Bangiales;Porphyra;	UniEuk#873		genus											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Bangiales;Pseudobangia;	UniEuk#874		genus											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Bangiales;Pyropia;	UniEuk#875		genus											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Bangiales;Wildemania;	UniEuk#876		genus											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;	UniEuk#877	Cronquist 1960												
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Ahnfeltiophycidae;	UniEuk#878													
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Ahnfeltiophycidae;Ahnfeltia;	UniEuk#879		genus											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Ahnfeltiophycidae;Pihiella;	UniEuk#880		genus											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Corallinophycidae;	UniEuk#881													
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Corallinophycidae;Corallinales;	UniEuk#882		order											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Corallinophycidae;Corallinales;Corallinaceae;	UniEuk#883		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Corallinophycidae;Corallinales;Hapalidiaceae;	UniEuk#884		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Corallinophycidae;Rhodogorgonales;	UniEuk#885		order											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Corallinophycidae;Sporolithales;	UniEuk#886		order											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Hildenbrandiophycidae;	UniEuk#887													
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Hildenbrandiophycidae;Apophlaea;	UniEuk#889		genus											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Hildenbrandiophycidae;Hildenbrandia;	UniEuk#888		genus											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Nemaliophycidae;	UniEuk#890													
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Nemaliophycidae;Acrochaetiales;	UniEuk#891		order											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Nemaliophycidae;Balbianiales;	UniEuk#892		order											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Nemaliophycidae;Balliales;	UniEuk#893		order											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Nemaliophycidae;Batrachospermales;	UniEuk#894		order											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Nemaliophycidae;Batrachospermales;Batrachospermaceae;	UniEuk#895		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Nemaliophycidae;Batrachospermales;Lemaneaceae;	UniEuk#896		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Nemaliophycidae;Batrachospermales;Psilosiphonaceae;	UniEuk#897		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Nemaliophycidae;Colaconematales;	UniEuk#898		order											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Nemaliophycidae;Nemaliales;	UniEuk#899		order											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Nemaliophycidae;Nemaliales;Galaxauraceae;	UniEuk#900		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Nemaliophycidae;Nemaliales;Liagoraceae;	UniEuk#901		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Nemaliophycidae;Nemaliales;Scinaiaceae;	UniEuk#902		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Nemaliophycidae;Palmariales;	UniEuk#903		order											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Nemaliophycidae;Palmariales;Palmariaceae;	UniEuk#904		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Nemaliophycidae;Palmariales;Rhodophysemataceae;	UniEuk#905		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Nemaliophycidae;Palmariales;Rhodothamniellaceae;	UniEuk#906		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Nemaliophycidae;Rhodachlyales;	UniEuk#907		order											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Nemaliophycidae;Thoreales;	UniEuk#908		order											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;	UniEuk#909													
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Acrosymphytales;	UniEuk#910		order											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Atractophora;	UniEuk#983		genus											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Bonnemaisoniales;	UniEuk#911		order											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Bonnemaisoniales;Bonnemaisoniaceae;	UniEuk#912		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Bonnemaisoniales;Naccariaceae;	UniEuk#913		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Calosiphoniaceae;	UniEuk#980		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Ceramiales;	UniEuk#914		order											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Ceramiales;'Dasya group';	UniEuk#925													
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Ceramiales;'Heterosiphonia group';	UniEuk#926													
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Ceramiales;Callithamniaceae;	UniEuk#916		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Ceramiales;Caloglossa;	UniEuk#927		genus											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Ceramiales;Ceramiaceae;	UniEuk#915		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Ceramiales;Delesserioideae;	UniEuk#920													
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Ceramiales;Griffithsieae;	UniEuk#923													
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Ceramiales;Nitophylloideae;	UniEuk#921													
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Ceramiales;Phycodryoideae;	UniEuk#922													
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Ceramiales;Ptiloteae;	UniEuk#924													
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Ceramiales;Rhodomelaceae;	UniEuk#917		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Ceramiales;Sarcomeniaceae;	UniEuk#918		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Ceramiales;Spyridiaceae;	UniEuk#919		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Gelidiales;	UniEuk#928		order											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Gelidiales;Gelidiaceae;	UniEuk#929		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Gelidiales;Gelidiellaceae;	UniEuk#930		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Gelidiales;Pterocladiaceae;	UniEuk#931		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Gigartinales;	UniEuk#932		order											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Gigartinales;Acrotylaceae;	UniEuk#934		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Gigartinales;Areschougiaceae;	UniEuk#935		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Gigartinales;Callophycus;	UniEuk#959		genus											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Gigartinales;Caulacanthaceae;	UniEuk#936		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Gigartinales;Cruoriaceae;	UniEuk#937		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Gigartinales;Cubiculosporaceae;	UniEuk#938		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Gigartinales;Cystocloniaceae;	UniEuk#939		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Gigartinales;Dicranemataceae;	UniEuk#940		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Gigartinales;Dumontiaceae;	UniEuk#941		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Gigartinales;Endocladiaceae;	UniEuk#942		family											
Eukaryota;Diaphoretickes;Archaeplastida;'PRR clade';Rhodophyta;Eurhodophytina;Florideophyceae;Rhodymeniophycidae;Gigartinales;Furcellariaceae;	UniEuk#943		family											
